id,name,income
05075,".Lawrence County, Arkansas",28367.00
05077,".Lee County, Arkansas",45166.00
05079,".Lincoln County, Arkansas",45388.00
05081,".Little River County, Arkansas",39748.00
05083,".Logan County, Arkansas",57509.00
05085,".Lonoke County, Arkansas",43891.00
05087,".Madison County, Arkansas",35518.00
05089,".Marion County, Arkansas",41903.00
05091,".Miller County, Arkansas",37237.00
05093,".Mississippi County, Arkansas",35190.00
05095,".Monroe County, Arkansas",37855.00
05097,".Montgomery County, Arkansas",37635.00
05099,".Nevada County, Arkansas",39896.00
05101,".Newton County, Arkansas",34887.00
05103,".Ouachita County, Arkansas",46071.00
05105,".Perry County, Arkansas",29263.00
05107,".Phillips County, Arkansas",37406.00
05109,".Pike County, Arkansas",39277.00
05111,".Poinsett County, Arkansas",37035.00
05113,".Polk County, Arkansas",41914.00
05115,".Pope County, Arkansas",41846.00
05117,".Prairie County, Arkansas",35509.00
05119,".Pulaski County, Arkansas",50093.00
05121,".Randolph County, Arkansas",36870.00
05123,".St. Francis County, Arkansas",35356.00
05125,".Saline County, Arkansas",62152.00
05127,".Scott County, Arkansas",36390.00
05129,".Searcy County, Arkansas",43240.00
05131,".Sebastian County, Arkansas",46667.00
05133,".Sevier County, Arkansas",33708.00
05135,".Sharp County, Arkansas",36162.00
05137,".Stone County, Arkansas",44000.00
05139,".Union County, Arkansas",36897.00
05141,".Van Buren County, Arkansas",49629.00
05143,".Washington County, Arkansas",43822.00
05145,".White County, Arkansas",31023.00
05147,".Woodruff County, Arkansas",42361.00
05149,".Yell County, Arkansas",101744.00
06001,"Alameda County, California",55384.00
06003,"Alpine County, California",58515.00
06005,"Amador County, California",50945.00
06007,"Butte County, California",62984.00
06009,"Calaveras County, California",57249.00
06011,"Colusa County, California",101463.00
06013,"Contra Costa County, California",48518.00
06015,"Del Norte County, California",81869.00
06017,"El Dorado County, California",52318.00
06019,"Fresno County, California",47365.00
06021,"Glenn County, California",49471.00
06023,"Humboldt County, California",46633.00
06025,"Imperial County, California",53793.00
06027,"Inyo County, California",51586.00
06029,"Kern County, California",58255.00
06031,"Kings County, California",45086.00
06033,"Lake County, California",57705.00
06035,"Lassen County, California",67986.00
06037,"Los Angeles County, California",53632.00
06039,"Madera County, California",122933.00
06041,"Marin County, California",51402.00
06043,"Mariposa County, California",51386.00
06045,"Mendocino County, California",56169.00
06047,"Merced County, California",45227.00
06049,"Modoc County, California",66499.00
06051,"Mono County, California",69665.00
06053,"Monterey County, California",85624.00
06055,"Napa County, California",66681.00
06057,"Nevada County, California",89373.00
06059,"Orange County, California",89175.00
06061,"Placer County, California",55079.00
06063,"Plumas County, California",66793.00
06065,"Riverside County, California",69475.00
06067,"Sacramento County, California",80063.00
06069,"San Benito County, California",63310.00
06071,"San Bernardino County, California",78777.00
06073,"San Diego County, California",110601.00
06075,"San Francisco County, California",63567.00
06077,"San Joaquin County, California",70626.00
06079,"San Luis Obispo County, California",122930.00
06081,"San Mateo County, California",75646.00
06083,"Santa Barbara County, California",125933.00
06085,"Santa Clara County, California",84213.00
06087,"Santa Cruz County, California",53908.00
06089,"Shasta County, California",52308.00
06091,"Sierra County, California",47560.00
06093,"Siskiyou County, California",82808.00
06095,"Solano County, California",81002.00
06097,"Sonoma County, California",59616.00
06099,"Stanislaus County, California",57879.00
06101,"Sutter County, California",47572.00
06103,"Tehama County, California",40680.00
06105,"Trinity County, California",48763.00
06107,"Tulare County, California",56500.00
06109,"Tuolumne County, California",84170.00
06111,"Ventura County, California",67804.00
06113,"Yolo County, California",47504.00
06115,"Yuba County, California",70199.00
08001,".Adams County, Colorado",42897.00
08003,".Alamosa County, Colorado",76665.00
08005,".Arapahoe County, Colorado",53337.00
08007,".Archuleta County, Colorado",38294.00
08009,".Baca County, Colorado",37659.00
08011,".Bent County, Colorado",83591.00
08013,".Boulder County, Colorado",96924.00
08014,".Broomfield County, Colorado",56168.00
08015,".Chaffee County, Colorado",54504.00
08017,".Cheyenne County, Colorado",74019.00
08019,".Clear Creek County, Colorado",38777.00
08021,".Conejos County, Colorado",31557.00
08023,".Costilla County, Colorado",35880.00
08025,".Crowley County, Colorado",55242.00
08027,".Custer County, Colorado",46786.00
08029,".Delta County, Colorado",68069.00
08031,".Denver County, Colorado",47482.00
08033,".Dolores County, Colorado",120670.00
08035,".Douglas County, Colorado",86896.00
08037,".Eagle County, Colorado",98247.00
08039,".Elbert County, Colorado",67923.00
08041,".El Paso County, Colorado",47885.00
08043,".Fremont County, Colorado",74421.00
08045,".Garfield County, Colorado",72949.00
08047,".Gilpin County, Colorado",69214.00
08049,".Grand County, Colorado",61268.00
08051,".Gunnison County, Colorado",62149.00
08053,".Hinsdale County, Colorado",38242.00
08055,".Huerfano County, Colorado",51457.00
08057,".Jackson County, Colorado",85550.00
08059,".Jefferson County, Colorado",44704.00
08061,".Kiowa County, Colorado",48342.00
08063,".Kit Carson County, Colorado",51802.00
08065,".Lake County, Colorado",66219.00
08067,".La Plata County, Colorado",71306.00
08069,".Larimer County, Colorado",41485.00
08071,".Las Animas County, Colorado",46690.00
08073,".Lincoln County, Colorado",53168.00
08075,".Logan County, Colorado",51132.00
08077,".Mesa County, Colorado",60210.00
