id,name,population
05109,"Pike County, Arkansas",10666
05111,"Poinsett County, Arkansas",23903
05113,"Polk County, Arkansas",20019
05115,"Pope County, Arkansas",63594
05117,"Prairie County, Arkansas",8082
05127,"Pulaski County, Arkansas",391918
05119,"Randolph County, Arkansas",17970
05121,"St Francis County, Arkansas",25509
05123,"Saline County, Arkansas",121074
05125,"Scott County, Arkansas",10339
05129,"Searcy County, Arkansas",7930
05131,"Sebastian County, Arkansas",127570
05133,"Sevier County, Arkansas",17061
05135,"Sharp County, Arkansas",17290
05137,"Stone County, Arkansas",12454
05139,"Union County, Arkansas",39139
05141,"Van Buren County, Arkansas",16635
05143,"Washington County, Arkansas",236611
05145,"White County, Arkansas",78381
05147,"Woodruff County, Arkansas",6466
05149,"Yell County, Arkansas",21462
06001,"Alameda County, California",1666756
06003,"Alpine County, California",1089
06005,"Amador County, California",39405
06007,"Butte County, California",230339
06009,"Calaveras County, California",45698
06011,"Colusa County, California",21418
06013,"Contra Costa County, California",1150519
06015,"Del Norte County, California",27740
06017,"El Dorado County, California",190746
06019,"Fresno County, California",991950
06021,"Glenn County, California",27967
06023,"Humboldt County, California",136244
06025,"Imperial County, California",181523
06027,"Inyo County, California",17946
06029,"Kern County, California",893758
06031,"Kings County, California",151382
06033,"Lake County, California",64317
06035,"Lassen County, California",30618
06037,"Los Angeles County, California",7000000
06039,"Madera County, California",156882
06041,"Marin County, California",259662
06043,"Mariposa County, California",17405
06045,"Mendocino County, California",87401
06047,"Merced County, California",274151
06049,"Modoc County, California",8800
06051,"Mono County, California",14403
06053,"Monterey County, California",433950
06055,"Napa County, California",138789
06057,"Nevada County, California",99508
06059,"Orange County, California",3175973
06061,"Placer County, California",392330
06063,"Plumas County, California",18741
06065,"Riverside County, California",2445789
06067,"Sacramento County, California",1538746
06069,"San Benito County, California",61467
06071,"San Bernardino County, California",2166753
06073,"San Diego County, California",3333861
06075,"San Francisco County, California",880696
06077,"San Joaquin County, California",752491
06079,"San Luis Obispo County, California",283354
06081,"San Mateo County, California",768681
06083,"Santa Barbara County, California",445780
06085,"Santa Clara County, California",1932337
06087,"Santa Cruz County, California",273841
06089,"Shasta County, California",179709
06091,"Sierra County, California",2997
06093,"Siskiyou County, California",43550
06095,"Solano County, California",445725
06097,"Sonoma County, California",498643
06099,"Stanislaus County, California",548126
06101,"Sutter County, California",96348
06103,"Tehama County, California",64018
06105,"Trinity County, California",12567
06107,"Tulare County, California",464589
06109,"Tuolumne County, California",54387
06111,"Ventura County, California",848142
06113,"Yolo County, California",220118
06115,"Yuba County, California",77557
08001,"Adams County, Colorado",511354
08003,"Alamosa County, Colorado",16248
08005,"Arapahoe County, Colorado",651797
08007,"Archuleta County, Colorado",13730
08009,"Baca County, Colorado",3584
08011,"Bent County, Colorado",5808
08013,"Boulder County, Colorado",324636
08014,"Broomfield County, Colorado",69324
08015,"Chaffee County, Colorado",20041
08017,"Cheyenne County, Colorado",1859
08019,"Clear Creek County, Colorado",9604
08021,"Conejos County, Colorado",8181
08023,"Costilla County, Colorado",3812
08025,"Crowley County, Colorado",5957
08027,"Custer County, Colorado",4934
08029,"Delta County, Colorado",30884
08031,"Denver County, Colorado",716265
08033,"Dolores County, Colorado",2060
08035,"Douglas County, Colorado",342989
08037,"Eagle County, Colorado",54943
08039,"Elbert County, Colorado",26303
08041,"El Paso County, Colorado",712089
08043,"Fremont County, Colorado",47959
08045,"Garfield County, Colorado",59701
08047,"Gilpin County, Colorado",6112
08049,"Grand County, Colorado",15511
08051,"Gunnison County, Colorado",17167
08053,"Hinsdale County, Colorado",808
08055,"Huerfano County, Colorado",6887
08057,"Jackson County, Colorado",1395
08059,"Jefferson County, Colorado",579392
08061,"Kiowa County, Colorado",1379
08063,"Kit Carson County, Colorado",7159
08065,"Lake County, Colorado",7846
08067,"La Plata County, Colorado",56299
08069,"Larimer County, Colorado",350660
08071,"Las Animas County, Colorado",14508
08073,"Lincoln County, Colorado",5606
08075,"Logan County, Colorado",22268
08077,"Mesa County, Colorado",152951
08079,"Mineral County, Colorado",772
08081,"Moffat County, Colorado",13183
08083,"Montezuma County, Colorado",26152
08085,"Montrose County, Colorado",42206
08087,"Morgan County, Colorado",28769
08089,"Otero County, Colorado",18338
08091,"Ouray County, Colorado",4822
08093,"Park County, Colorado",18525
08095,"Phillips County, Colorado",4285
08097,"Pitkin County, Colorado",17976
08099,"Prowers County, Colorado",12079
08101,"Pueblo County, Colorado",167422
08103,"Rio Blanco County, Colorado",6330
08105,"Rio Grande County, Colorado",11271
08107,"Routt County, Colorado",25507
08109,"Saguache County, Colorado",6840
08111,"San Juan County, Colorado",764
08113,"San Miguel County, Colorado",8180
08115,"Sedgwick County, Colorado",2276
08117,"Summit County, Colorado",30817
08119,"Teller County, Colorado",25113
08121,"Washington County, Colorado",4888
08123,"Weld County, Colorado",314815
08125,"Yuma County, Colorado",9947
09001,"Fairfield County, Connecticut",916829
09003,"Hartford County, Connecticut",894014
09005,"Litchfield County, Connecticut",189927
09007,"Middlesex County, Connecticut",165676
09009,"New Haven County, Connecticut",862477
09011,"New London County, Connecticut",274055
09013,"Tolland County, Connecticut",152691
09015,"Windham County, Connecticut",118428
10001,"Kent County, Delaware",178540
10003,"New Castle County, Delaware",557550
10005,"Sussex County, Delaware",229389
11000,"District of Columbia, District of Columbia",701547
11001,"Alachua County, Florida",268851
12001,"Baker County, Florida",28353
12003,"Bay County, Florida",186240
12005,"Bradford County, Florida",27752
12007,"Brevard County, Florida",595203
12009,"Broward County, Florida",1946107
12011,"Calhoun County, Florida",14543
12013,"Charlotte County, Florida",184849
12015,"Citrus County, Florida",147682
12017,"Clay County, Florida",215908
12019,"Collier County, Florida",378201
12021,"Columbia County, Florida",70668
12023,"DeSoto County, Florida",37368
12027,"Dixie County, Florida",16685
12029,"Duval County, Florida",948652
12031,"Escambia County, Florida",315104
12033,"Flagler County, Florida",112085
12035,"Franklin County, Florida",11676
12037,"Gadsden County, Florida",45927
12039,"Gilchrist County, Florida",18284
12041,"Glades County, Florida",13686
12043,"Gulf County, Florida",16146
12045,"Hamilton County, Florida",14262
12047,"Hardee County, Florida",27168
12049,"Hendry County, Florida",41336
12051,"Hernando County, Florida",190582
12053,"Highlands County, Florida",104933
12055,"Hillsborough County, Florida",1451919
12057,"Holmes County, Florida",19443
12059,"Indian River County, Florida",157187
12061,"Jackson County, Florida",48112
12063,"Jefferson County, Florida",14321
12065,"Lafayette County, Florida",8691
12067,"Lake County, Florida",356720
12069,"Lee County, Florida",754470
12071,"Leon County, Florida",291657
12073,"Levy County, Florida",40798
12075,"Liberty County, Florida",8427
12077,"Madison County, Florida",18540
12079,"Manatee County, Florida",394387
12081,"Marion County, Florida",359062
12083,"Martin County, Florida",160742
12085,"Miami-Dade County, Florida",2714854
12086,"Monroe County, Florida",74757
12087,"Nassau County, Florida",85936
12089,"Okaloosa County, Florida",206934
12091,"Okeechobee County, Florida",41654
12093,"Orange County, Florida",1381540
12095,"Osceola County, Florida",368456
12097,"Palm Beach County, Florida",1482876
12099,"Pasco County, Florida",539090
12101,"Pinellas County, Florida",973058
12103,"Polk County, Florida",706597
12105,"Putnam County, Florida",74043
12107,"St Johns County, Florida",253814
12109,"St Lucie County, Florida",320425
12111,"Santa Rosa County, Florida",179295
12113,"Sarasota County, Florida",426329
12115,"Seminole County, Florida",468122
12117,"Sumter County, Florida",128719
12119,"Suwannee County, Florida",44179
12121,"Taylor County, Florida",21545
12123,"Union County, Florida",15328
12125,"Volusia County, Florida",546101
12127,"Wakulla County, Florida",32413
12129,"Walton County, Florida",70732
12131,"Washington County, Florida",24793
12133,"Appling County, Georgia",18526
13001,"Atkinson County, Georgia",8262
13003,"Bacon County, Georgia",11132
13005,"Baker County, Georgia",3086
13007,"Baldwin County, Georgia",44893
13009,"Banks County, Georgia",18972
13011,"Barrow County, Georgia",80834
13013,"Bartow County, Georgia",106378
13015,"Ben Hill County, Georgia",16822
13017,"Berrien County, Georgia",19266
13019,"Bibb County, Georgia",152903
13021,"Bleckley County, Georgia",12821
13023,"Brantley County, Georgia",18985
13025,"Brooks County, Georgia",15479
13027,"Bryan County, Georgia",38059
13029,"Bulloch County, Georgia",77242
13031,"Burke County, Georgia",22439
13033,"Butts County, Georgia",24192
13035,"Calhoun County, Georgia",6353
13037,"Camden County, Georgia",53651
13039,"Candler County, Georgia",10827
13043,"Carroll County, Georgia",117997
13045,"Catoosa County, Georgia",67380
13047,"Charlton County, Georgia",12919
13049,"Chatham County, Georgia",289166
13051,"Chattahoochee County, Georgia",10600
13053,"Chattooga County, Georgia",24782
13055,"Cherokee County, Georgia",253914
13057,"Clarke County, Georgia",127268
13059,"Clay County, Georgia",2884
13061,"Clayton County, Georgia",289197
13063,"Clinch County, Georgia",6603
13065,"Cobb County, Georgia",756070
13067,"Coffee County, Georgia",43055
13069,"Colquitt County, Georgia",45455
13071,"Columbia County, Georgia",154077
13073,"Cook County, Georgia",17171
13075,"Coweta County, Georgia",145998
13077,"Crawford County, Georgia",12334
13079,"Crisp County, Georgia",22617
13081,"Dade County, Georgia",16227
13083,"Dawson County, Georgia",25127
13085,"Decatur County, Georgia",26573
